,slice_file_name,fsID,start,end,salience,fold,classID,Class,filelocation
0,100852-0-0-0.wav,100852,0,4,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-0.wav
1,100852-0-0-1.wav,100852,0.5,4.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-1.wav
2,100852-0-0-10.wav,100852,5,9,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-10.wav
3,100852-0-0-11.wav,100852,5.5,9.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-11.wav
4,100852-0-0-12.wav,100852,6,10,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-12.wav
5,100852-0-0-13.wav,100852,6.5,10.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-13.wav
6,100852-0-0-14.wav,100852,7,11,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-14.wav
7,100852-0-0-15.wav,100852,7.5,11.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-15.wav
8,100852-0-0-16.wav,100852,8,12,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-16.wav
9,100852-0-0-17.wav,100852,8.5,12.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-17.wav
10,100852-0-0-18.wav,100852,9,13,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-18.wav
11,100852-0-0-19.wav,100852,9.5,13.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-19.wav
12,100852-0-0-2.wav,100852,1,5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-2.wav
13,100852-0-0-20.wav,100852,10,14,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-20.wav
14,100852-0-0-21.wav,100852,10.5,14.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-21.wav
15,100852-0-0-22.wav,100852,11,15,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-22.wav
16,100852-0-0-23.wav,100852,11.5,15.5,1,5,0,air_conditioner,C:\Users\gubba\Downloads\archive\fold5\100852-0-0-23.wav
